Table 1
NAV calculation date;NAV;Reinvestment factor;"NAV (adjusted if ""distr."")";Dividend;Fund size (class);Fund size (compartment)
26.05.2023;311,69;;311,69;;1,82B;10980150589,72
25.05.2023;309,35;;309,35;;1,807B;10899191520,52
24.05.2023;307,63;;307,63;;1,798B;10847717519,96
23.05.2023;314,06;;314,06;;1,836B;11077906190,12
22.05.2023;314,65;;314,65;;1,841B;11104392275,64
19.05.2023;315,54;;315,54;;1,847B;11135111606,1
17.05.2023;308,48;;308,48;;1,807B;10891723663,76
16.05.2023;308,74;;308,74;;1,809B;10906966350,53
15.05.2023;308,88;;308,88;;1,81B;10912687931,16
12.05.2023;308,93;;308,93;;1,81B;10919852488,73
11.05.2023;307,56;;307,56;;1,803B;10877573343,09
10.05.2023;307,08;;307,08;;1,826B;10896791801,77
08.05.2023;305,56;;305,56;;1,817B;10842481960,36
05.05.2023;305,04;;305,04;;1,814B;10824527492,62
04.05.2023;302,24;;302,24;;1,797B;10726672736,49
03.05.2023;304,44;;304,44;;1,81B;10805793540,16
02.05.2023;306,52;;306,52;;1,823B;10871714033,48
28.04.2023;304,24;;304,24;;1,809B;10795897791,59
27.04.2023;300,65;;300,65;;1,788B;10670053601,13
26.04.2023;299,72;;299,72;;1,783B;10637012617,31
25.04.2023;305,35;;305,35;;1,818B;10834657099,92
24.04.2023;307,68;;307,68;;1,832B;10921027999,73
21.04.2023;307,89;;307,89;;1,834B;10927653318,94
20.04.2023;307,40;;307,40;;1,832B;10913459049,57
19.04.2023;307,90;;307,90;;1,835B;10928148184,07
18.04.2023;310,08;;310,08;;1,849B;11042703506,01
17.04.2023;309,28;;309,28;;1,845B;11014523618,39
14.04.2023;308,02;;308,02;;1,839B;10979563689,08
13.04.2023;303,71;;303,71;;1,814B;10829834304,77
12.04.2023;306,29;;306,29;;1,83B;10918047705
11.04.2023;306,67;;306,67;;1,842B;10939464687,97
06.04.2023;303,32;;303,32;;1,823B;10818758151,01
05.04.2023;304,71;;304,71;;1,831B;10868737156,95
04.04.2023;308,54;;308,54;;1,854B;11003460894,16
03.04.2023;308,94;;308,94;;1,856B;11012082467,46
31.03.2023;308,22;;308,22;;1,851B;10987256120,28
30.03.2023;306,09;;306,09;;1,84B;10913980607,47
29.03.2023;303,88;;303,88;;1,826B;10832281658,45
28.03.2023;301,13;;301,13;;1,81B;10733690612,06
27.03.2023;303,13;;303,13;;1,823B;10812145599,55
24.03.2023;299,61;;299,61;;1,802B;10689149289,86
23.03.2023;301,88;;301,88;;1,816B;10798574498,61
22.03.2023;303,27;;303,27;;1,824B;10842263178,4
21.03.2023;302,56;;302,56;;1,774B;10769985791,61
20.03.2023;302,06;;302,06;;1,771B;10748404296,29
17.03.2023;300,95;;300,95;;1,766B;10707149274,82
